transaction_id,user_id,date,amount,category,payment_method,merchant,income_level,is_periodic,location,age,employment_type,account_type,subscription_type
3b9d768e-0ee4-44f3-9ee0-1a8b082dbb1a,0,2025-04-15,694.31,market,Havale,Roketsan,medium,False,East Kelâmi,40,öğrenci,bireysel,None
6a948a4b-2b04-4d23-94d0-a3d4acf276cb,0,2024-08-06,956.91,elektrik,EFT,Fırat Ltd.,medium,False,East Sevimview,19,kobi,bireysel,None
e41176fb-62ef-4822-9c1f-2ef8c82130d5,0,2024-09-07,360.97,fitness,EFT,EnerjiSA,high,True,Bilirtown,39,freelancer,bireysel,BluTV
26916312-53b5-4d0e-9ba7-ae8757a309b8,0,2025-07-10,360.28,ulaşım,Nakit,Türk Hava Yolları,low,False,Fennitown,45,kobi,bireysel,None
72e9b95a-b4ac-45fd-a302-070e0685964f,0,2025-01-26,311.16,sinema,Nakit,Sezer Şama Ltd.,medium,False,Demirview,20,freelancer,bireysel,None
7fbee2a6-9a7f-410a-b9bd-821d1aede56b,0,2024-12-26,679.32,market,Nakit,A101 Yeni Mağzacılık,medium,True,West Zemzemport,42,kobi,bireysel,Spotify
f1cbfccf-75fc-4c0e-9118-8158e2ae1a23,0,2024-10-18,275.28,sinema,Havale,Akgündüz Şti.,medium,True,West Merteltown,61,freelancer,bireysel,None
3394632b-628c-413e-b89a-9ff94f2d40eb,0,2024-07-21,266.49,personel maaşı,EFT,Yılmaz Seven Ltd.,corporate,True,East Toy,23,full-time,kurumsal,Spotify
df076408-c227-4e48-8a5b-c408d1e4dc05,0,2025-04-10,447.11,market,EFT,Şafak Şti.,medium,True,West Bağdat,53,full-time,bireysel,BluTV
4fd6c7c9-ff38-4dc2-9844-09357a303da6,0,2025-01-28,860.27,giyim,EFT,Şensoy A.Ş.,low,False,Lake Nazimouth,64,freelancer,bireysel,None
0630ccbf-a7ab-4483-a451-1a91da85f01c,1,2024-12-21,47.01,spotify,Havale,Akdeniz Şti.,medium,False,Yükselton,62,freelancer,bireysel,None
0bfe841c-7943-45a6-aa08-61875d169774,1,2025-05-20,716.45,market,Nakit,Gül Bilir Şti.,low,False,South Mahter,25,kobi,bireysel,None
acdaba37-ca55-4b9c-93d6-c4ac897defe3,1,2025-02-25,779.18,telefon faturası,Kredi Kartı,Bilge Şti.,low,True,Lake Tanpınarburgh,59,öğrenci,bireysel,Spotify
59d1b872-2fc1-4016-bc7b-e8cc99f9038f,1,2024-12-23,703.33,internet,EFT,Yılmaz Sezgin Şti.,low,False,New Şöhret,50,kobi,bireysel,None
9c8c14e6-b869-4fbb-8bd3-f6c1efb1878a,1,2024-09-01,785.0,elektrik,Havale,LC Waikiki,medium,False,Şafaktown,18,öğrenci,bireysel,None
0b37202d-a2e2-47b9-82a1-076822de2afc,1,2024-08-10,1017.95,market,Kredi Kartı,Çorlu A.Ş.,low,False,South Demirok,43,öğrenci,bireysel,None
df8a5900-620b-4caf-b9db-e0e4e3635daf,1,2025-02-14,5.0,lüks giyim,Nakit,Turkcell,high,False,Selâtinchester,30,öğrenci,bireysel,None
dc0e101b-7f8b-44d9-abd3-d173c3f19ac1,1,2024-12-20,746.57,internet,Kredi Kartı,Peak Games,low,False,Mücevherhaven,49,kobi,bireysel,None
54272e41-d3f7-4ccd-879a-9cbb56c1f0ef,1,2024-08-18,943.37,personel maaşı,Kredi Kartı,Türk Telekom,corporate,True,Tanhanstad,49,öğrenci,kurumsal,None
5066aa62-bcaf-4a22-9a52-e70127e44f98,1,2025-02-23,344.52,market,Kredi Kartı,İnönü Alemdar A.Ş.,medium,False,Lake Züheylafort,23,kobi,bireysel,None
bb16a298-6ffe-40b6-b19c-31e0020774f5,2,2025-01-17,529.12,lüks giyim,Havale,Akçay Ltd.,high,True,Necilalville,45,freelancer,bireysel,Netflix
